893066503506211;BEIJING;06092012170400;SEATTLE;06102012100400;1352.37975402912;Expensive Airlines
312141347068198;NEW YORK LA GUARDIA;06242012243100;NEW YORK;06252012003100;720.044900764245;Expensive Airlines
872098344140627;LONDON HEATHROW;05142012191500;BOSTON;05152012141500;389.699661720029;Cheap Airlines
813474608510080;LAS VEGAS;06072012091500;SEATTLE;06072012181500;251.733088566097;Expensive Airlines
891186645816882;CAMPECHE;08202012113500;MEXICO CITY;08202012223500;290.320117087259;Expensive Airlines
762905979621410;CHARLOTTE;02042012130900;NANNING;02052012020900;1628.2234214702;UNITED STATES Airlines
745308335779799;CAIRO;09212012103000;NEW YORK JOHN F. KENNEDY;09212012203000;932.054098865013;UNITED STATES Airlines
1386711956453;LONDON HEATHROW;04282012241700;LOS ANGELES;04292012001700;637.622535071795;Cheap Airlines
811951863547061;PHILADELPHIA;07072012135000;MONTEVIDEO;07082012025000;764.93826479361;Expensive Airlines
257308344291224;SEATTLE;09012012085000;SALVADOR;09012012165000;688.290529079253;Cheap Airlines
332206428767999;TAMPA;06172012132500;NAGPUR;06182012022500;2500.34744861792;Expensive Airlines
889806195826284;CHICAGO;01242012173500;MUNICH;01252012103500;1135.20674901072;Expensive Airlines
974337263537928;CAMPECHE;03192012113500;MEXICO CITY;03192012223500;290.320117087259;Expensive Airlines
112593889648255;OSAKA;02152012112000;NEW YORK LA GUARDIA;02152012222000;1046.10855507339;Cheap Airlines
566070859748197;MUNICH;01122012241500;PHILADELPHIA;01132012001500;693.52231803732;GERMANY Airlines
523376712630170;NEW YORK JOHN F. KENNEDY;11032012174000;MUNICH;11042012104000;1017.34769622541;Expensive Airlines
724043543492672;LONDON HEATHROW;09172012244500;NEWARK;09182012004500;589.363723055465;UNITED KINGDOM Airlines
900238692997251;SEATTLE;11292012091600;CALGARY;11292012181600;154.148454347486;Expensive Airlines
171265718199719;SEATTLE;03182012090800;PORTLAND;03182012180800;51.394127147656;UNITED STATES Airlines
948713342235911;CHICAGO;08182012173500;MUNICH;08192012103500;756.804499340479;UNITED STATES Airlines
764079355862551;TORONTO;03012012195500;MUNICH;03022012145500;693.337420598574;CANADA Airlines
233956767097055;WELLINGTON;11172012180000;PARIS;11182012120000;1566.60689062151;France Airlines
278719683342515;LONDON HEATHROW;06102012165500;VANCOUVER;06112012085500;790.649136573246;UNITED KINGDOM Airlines
243349780610877;SHAOXING;06122012075500;SEATTLE;06122012145500;1848.03713742215;Expensive Airlines
998274411632023;CAMPECHE;11282012061300;MEXICO CITY;11282012121300;135.482721307387;Cheap Airlines
230567195552587;MUNICH;07052012094000;ATLANTA;07052012184000;1199.66198442519;Expensive Airlines
210300102450407;SEATTLE;03072012091300;DENVER;03072012181300;197.009379539023;UNITED STATES Airlines
722073394765881;MUNICH;05062012114000;PHILADELPHIA;05062012224000;1005.86448882421;United States Airlines
173217455509806;WELLINGTON;04122012180000;PALMIRA;04132012120000;1190.38194793845;Colombia Airlines
92984708461564;SEATTLE;04232012085000;SALVADOR;04232012165000;688.290529079253;Cheap Airlines
869040296000117;LONDON HEATHROW;01062012180000;NEW YORK JOHN F. KENNEDY;01072012120000;587.261305482948;UNITED STATES Airlines
546381369325902;SEATTLE;09042012091500;SAPPORO;09042012181500;1079.51484507391;UNITED STATES Airlines
290259423438722;TORONTO;10022012195500;MUNICH;10032012145500;693.337420598574;CANADA Airlines
439910652045394;NEW YORK JOHN F. KENNEDY;01212012174000;MUNICH;01222012104000;1017.34769622541;Expensive Airlines
996400222279635;CAMPECHE;08212012113500;MEXICO CITY;08212012223500;135.482721307387;Cheap Airlines
941710598819400;TORONTO;06152012195500;MUNICH;06162012145500;693.337420598574;CANADA Airlines
658105933067157;MEXICO CITY;03292012082000;CAMPECHE;03292012162000;290.320117087259;Expensive Airlines
101488787922065;SANTIAGO;01042012093000;SEATTLE;01042012183000;1129.4743759287;Expensive Airlines
902637298077205;CHARLOTTE;05042012130900;NANNING;05052012020900;1628.2234214702;UNITED STATES Airlines
736257721405517;LONDON HEATHROW;10282012191500;BOSTON;10292012141500;389.699661720029;Cheap Airlines
764196702748203;CAMPECHE;06132012103000;MEXICO CITY;06132012203000;135.482721307387;Cheap Airlines
800756029007309;CAMPECHE;07172012201000;MEXICO CITY;07182012161000;193.546744724839;MEXICO Airlines
977904564198317;KEFLAVIK;12092012165500;SEATTLE;12102012085500;923.412954488451;Expensive Airlines
165607617707184;MEXICO CITY;04222012180100;CAMPECHE;04232012120100;135.482721307387;Cheap Airlines
705948497614822;CHARLOTTE;06292012173000;MUNICH;06302012103000;1140.64267501093;Expensive Airlines
380279972727229;CHARLOTTE;06292012142700;MEXICO, CIUDAD DE;06302012042700;327.229307249446;Cheap Airlines
54108072374077;SEATTLE;03022012092200;SAN FRANCISCO;03022012182200;140.08373828042;UNITED STATES Airlines
53938681532372;MUNICH;03162012112500;CHARLOTTE;03162012222500;1140.64267501093;Expensive Airlines
372109481029397;LONDON HEATHROW;07032012161000;CHICAGO;07042012081000;1000.61497841862;Expensive Airlines
496636076777476;MUNICH;04172012112500;CHARLOTTE;04172012222500;1140.64267501093;Expensive Airlines
814952733553066;SEATTLE;04212012091800;BOSTON;04212012181800;430.732106147178;UNITED STATES Airlines
